SO,ID_GRUPO_CE,ID_Colaborador_CE,ID
,"7dccc2c6-286b-4e80-b1ef-0423f1960f53","a54960e0-3497-4d62-866b-f3e9e2c49263","1"
,"37d9ac9e-eaa2-45ae-86ee-aba2bf481bad","a54960e0-3497-4d62-866b-f3e9e2c49263","2"
,"37d9ac9e-eaa2-45ae-86ee-aba2bf481bad","dba3ea7c-2e9b-45fa-a638-59403ab8a4af","3"
,"7dccc2c6-286b-4e80-b1ef-0423f1960f53","9089b791-ad3a-4df6-9b60-803e6fce596c","4"
,"7dccc2c6-286b-4e80-b1ef-0423f1960f53","3ad0e4c2-f3f0-4408-af22-642f6967698c","6"
,"37d9ac9e-eaa2-45ae-86ee-aba2bf481bad","7ca0af96-3e5b-45c2-9a03-93cd2c504994","7"
,"7dccc2c6-286b-4e80-b1ef-0423f1960f53","7ca0af96-3e5b-45c2-9a03-93cd2c504994","8"
,"37d9ac9e-eaa2-45ae-86ee-aba2bf481bad","09cc63cf-75b5-458e-8b72-bd7c63fcb0f5","9"
,"c0c12c04-b86c-4024-949e-a61cb62676d1","09cc63cf-75b5-458e-8b72-bd7c63fcb0f5","21"
,"c0c12c04-b86c-4024-949e-a61cb62676d1","ef88bd7a-6893-4fb0-a7fe-587a8f9a4ebd","24"
,"c0c12c04-b86c-4024-949e-a61cb62676d1","dba3ea7c-2e9b-45fa-a638-59403ab8a4af","25"
,"c0c12c04-b86c-4024-949e-a61cb62676d1","9089b791-ad3a-4df6-9b60-803e6fce596c","28"
,"37d9ac9e-eaa2-45ae-86ee-aba2bf481bad","9089b791-ad3a-4df6-9b60-803e6fce596c","30"
